,transits,exposure_h,dark
273297290,2,31.630000000000003,4
273335920,1,20.00583333333333,3
461000252,1,15.646666666666667,2
461000243,2,28.839444444444446,2
461000247,2,32.498333333333335,2
613741301,2,33.723888888888894,2
667002061,2,37.45305555555555,2
667001237,2,31.83972222222222,2
667002039,2,31.805555555555557,2
613003744,2,32.778888888888886,2
273258030,2,32.87027777777777,1
352005486,3,46.161944444444444,1
273272930,6,104.94611111111111,1
461000258,2,35.99972222222222,1
461000232,1,17.06361111111111,1
273253130,2,36.983333333333334,1
667001798,2,37.388888888888886,1
667001249,2,33.49916666666667,1
667001451,3,47.046388888888885,1
538011255,1,17.095555555555556,1
613271404,2,32.17805555555556,1
620800094,2,36.094166666666666,1
273278840,2,37.07777777777778,1
273273930,6,116.84083333333332,1
273258520,2,41.36694444444444,1
273254130,2,33.51638888888888,1
249566000,1,20.779722222222222,1
667002270,1,16.093333333333334,1
667002291,4,69.06388888888888,1
636023192,2,38.31166666666667,1
667001251,2,31.003888888888888,1
667001378,3,48.46611111111111,1
667002336,2,34.16388888888889,1
273271850,4,72.95722222222221,0
273271860,2,36.266666666666666,0
273272850,3,49.757222222222225,0
273271950,2,31.227777777777778,0
273276060,2,28.675833333333333,0
273273450,2,33.574444444444445,0
273276930,3,49.02583333333333,0
273277060,2,32.40777777777778,0
273271630,3,50.897499999999994,0
273268690,2,33.275277777777774,0
273267690,4,68.775,0
273266690,2,35.38083333333333,0
273265590,1,16.030555555555555,0
273264690,2,34.6825,0
273259630,2,34.43111111111111,0
273219650,2,39.63361111111111,0
273251530,1,15.455833333333333,0
273254770,4,69.46222222222222,0
273257370,2,31.371388888888887,0
273257120,3,46.65138888888889,0
273216130,1,17.860833333333332,0
273210220,1,14.83611111111111,0
273256410,1,17.45,0
273256600,2,29.485833333333332,0
273251810,2,33.445277777777775,0
248109000,2,34.245000000000005,0
273611590,2,33.191944444444445,0
273435910,2,42.120555555555555,0
273426280,1,16.974722222222223,0
273415140,1,21.410555555555554,0
273414440,2,40.14833333333333,0
273413440,2,36.93666666666667,0
273614220,1,18.15277777777778,0
304183000,4,101.56555555555555,0
314845000,3,57.20027777777778,0
352001849,2,34.195277777777775,0
304201000,3,48.62722222222223,0
309368000,2,36.948055555555555,0
311001104,4,63.2225,0
314001139,3,52.676944444444445,0
314001147,2,55.21194444444444,0
314115000,2,32.64666666666667,0
352002243,2,34.92277777777778,0
352002251,2,39.709999999999994,0
352002521,2,48.905,0
352002786,2,36.84722222222222,0
352002931,3,50.82388888888889,0
352003390,3,54.35166666666667,0
352003487,2,34.93777777777778,0
352003797,2,30.85138888888889,0
352004029,1,26.05,0
352004632,1,19.380555555555556,0
352001883,3,77.05361111111111,0
352001887,1,17.019166666666667,0
352002051,1,14.780555555555555,0
352002063,1,18.375,0
352002167,2,59.27777777777778,0
352002241,2,37.13305555555556,0
