mmsi,imo,name
211146780,9308065,EVENTIN
215375000,9302683,GEORGIA
229599000,9253246,CH ELIXIR
249182000,9577123,NORTHERNLIGHT
249566000,9412000,CONGA
256332000,9325831,MINERVA PACIFICA
271050524,9136785,SWORD LION
273114600,8904408,MEKHANIK BRILIN
273115700,8904379,MEKHANIK MAKARIN
273148510,8711289,RZK CONSTANTA
273210220,9236743,PRIMORYE
273211040,9842176,VLADIMIR MONOMAKH
273212470,9272412,FINVAL
273217060,9451642,VENGERY
273217380,9906544,ASTROL-1
273219650,9198226,ASCALON
273251530,9413559,
273254130,9256078,
273255820,9339301,LIPETSK
273256410,9621601,
273257120,8920581,MELITO CARRIER
273258520,9621596,STANISLAV GOVORUKHIN
273258810,9610810,VIKTOR BAKAEV
273259730,9610793,GEORGY MASLOV       
273264690,9329655,PROXIMA
273267690,9397559,ARIA
273276930,9385142,ALMOND
273291160,9358010,MAIA-1
273292160,9220641,LADY MARIIA
273293160,9349289,LADY D
273293820,9240550,SMP ARKHANGELSK
273295230,9842188,VLADIMIR VINOGRADOV
273296810,9888182,DMITRY MENDELEEV
273297850,9220639,BALTIC LEADER
273298320,9398046,SMP NOVODVINSK
273318120,9307724,SCF SAKHALIN
273335920,9503304,GENERAL SKOBELEV
273345020,9372547,VASILY DINKOV
273354480,8502107,INZHENER VESHNYAKOV
273355410,8807416,AMBAL
273357360,9497531,SPASATEL KAREV
273358130,9390317,MARINSTRAUM
273358380,8502080,INZHENER TRUBIN
273358610,8915550,NOYABRSK
273376490,9036284,NORDSTRAUM
273385970,9278600,BARENTS
273389870,9268710,SPARTA
273391790,9752101,SHTURMAN OVTSYN
273392360,9572020,BALTIYSKIY ISSLEDOVATEL
273394340,9159921,PATRIA
273396150,9279422,KAPITAN KOKOVIN
273396870,8821802,TIKSY
273398650,9250385,SIYANIE SEVERA
273399390,9650016,RN SAKHALIN
273413440,9743033,SPARTA IV
273414440,9179854,ADLER
273417870,9171876,NARVAL
273418870,9157820,SIVUCH
273432110,9202053,SEVERNIY PROECT
273435910,9194012,ANABAR
273437510,9267297,BERING
