imo,ofac,uk,eu
0363464,False,True,False
1006960,True,False,False
1010648,True,False,False
1010703,True,False,False
1011159,True,False,False
1011202,True,False,False
1011331,True,False,False
1011551,True,False,False
1021570,True,False,True
4743313,True,False,False
6401828,True,False,False
6421660,True,False,False
6703769,True,False,False
6908096,True,False,False
7206512,True,False,False
7236141,True,False,False
7303803,True,True,True
7389704,True,True,True
7406784,True,False,False
7408873,True,True,True
7411260,True,False,False
7416349,True,False,False
7423275,True,False,False
7506118,True,False,False
7514517,True,False,False
7612448,True,True,False
7632955,True,False,False
7640378,True,False,False
7738656,True,False,False
7741108,True,False,False
7815246,True,False,False
7904580,True,False,False
7912111,True,False,False
7937317,True,False,False
7944683,True,False,False
7944695,True,False,False
8010427,False,False,True
8011055,True,False,False
8018900,True,False,False
8018912,True,False,False
8023670,True,False,False
8106109,True,False,False
8106496,True,True,True
8122347,True,True,True
8126070,True,True,True
8132835,True,False,False
8133530,True,False,False
8151415,True,False,False
8201870,True,False,False
8203608,True,False,False
8203933,True,False,False
8212465,True,False,False
8215742,True,False,False
8217685,True,False,False
8227238,True,False,False
8231057,False,False,True
8305781,True,False,False
8312227,True,False,False
8312497,False,True,True
8314275,True,False,False
8315499,True,False,False
8316106,True,False,False
8316168,True,False,False
8318130,True,False,False
8318178,True,False,False
8318740,True,False,False
8318867,True,False,False
8319940,True,False,False
8319952,True,False,False
8322064,True,False,False
8322076,True,False,False
8328197,True,False,False
8330516,True,False,False
8330815,True,False,False
8400103,True,False,False
8400854,True,False,False
8400945,True,False,False
8403698,True,False,False
8404991,True,False,False
8405270,True,False,False
8405311,True,True,True
8405402,True,False,False
8406573,True,False,False
8407345,True,False,False
8407802,True,False,False
8408595,True,True,True
8408985,True,False,False
8409032,True,False,False
8412467,True,False,False
8413306,True,False,False
8414295,True,False,False
8414477,False,False,True
8422072,True,False,False
8422670,True,False,False
8422682,True,False,False
8430562,True,False,False
8502080,True,False,False
8502107,True,False,False
8503228,True,True,True
8504923,True,False,False
8508462,True,False,False
8511823,True,False,False
8514409,True,False,False
8517231,True,False,False
8517243,True,False,False
8517839,True,False,True
8518572,False,True,True
8518780,False,True,True
8519966,True,False,False
8523242,True,False,False
8529428,True,False,False
8529442,True,False,False
8537097,True,False,False
8537102,True,False,False
8602531,True,False,False
8603406,True,False,False
8603690,True,False,False
8604917,True,True,True
8605026,True,True,True
8605234,True,False,False
8606173,False,True,False
8606616,True,False,False
