imo,name,dir,n_photos,status
9308065,EVENTIN,vessel_images/IMO_9308065_EVENTIN,19,ok
9302683,GEORGIA,vessel_images/IMO_9302683_GEORGIA,19,ok
9253246,CH ELIXIR,vessel_images/IMO_9253246_CH_ELIXIR,9,ok
9577123,NORTHERNLIGHT,vessel_images/IMO_9577123_NORTHERNLIGHT,0,no_photos
9412000,CONGA,vessel_images/IMO_9412000_CONGA,12,ok
9325831,MINERVA PACIFICA,vessel_images/IMO_9325831_MINERVA_PACIFICA,20,ok
9136785,SWORD LION,vessel_images/IMO_9136785_SWORD_LION,20,ok
8904408,MEKHANIK BRILIN,vessel_images/IMO_8904408_MEKHANIK_BRILIN,20,ok
8904379,MEKHANIK MAKARIN,vessel_images/IMO_8904379_MEKHANIK_MAKARIN,20,ok
8711289,RZK CONSTANTA,vessel_images/IMO_8711289_RZK_CONSTANTA,20,ok
9236743,PRIMORYE,vessel_images/IMO_9236743_PRIMORYE,20,ok
9842176,VLADIMIR MONOMAKH,vessel_images/IMO_9842176_VLADIMIR_MONOMAKH,5,ok
9272412,FINVAL,vessel_images/IMO_9272412_FINVAL,19,ok
9451642,VENGERY,vessel_images/IMO_9451642_VENGERY,17,ok
9906544,ASTROL-1,vessel_images/IMO_9906544_ASTROL-1,11,ok
9198226,ASCALON,vessel_images/IMO_9198226_ASCALON,20,ok
9413559,unknown,vessel_images/IMO_9413559_unknown,20,ok
9256078,unknown,vessel_images/IMO_9256078_unknown,20,ok
9339301,LIPETSK,vessel_images/IMO_9339301_LIPETSK,20,ok
9621601,unknown,vessel_images/IMO_9621601_unknown,13,ok
8920581,MELITO CARRIER,vessel_images/IMO_8920581_MELITO_CARRIER,20,ok
9621596,STANISLAV GOVORUKHIN,vessel_images/IMO_9621596_STANISLAV_GOVORUKHIN,20,ok
9610810,VIKTOR BAKAEV,vessel_images/IMO_9610810_VIKTOR_BAKAEV,20,ok
9610793,GEORGY MASLOV       ,vessel_images/IMO_9610793_GEORGY_MASLOV_______,20,ok
